Unidad de término	Nombre	Abreviatura de la unidad actual	Litología	Litología representativa	Interés económico Art. 26 Minerales No Metálicos	Material de construcción Art. 45	Ambiente geológico
Formación 	Quinara	MQu	"Litológicamente está compuesta por tobas ácidas, tobas con vidrio volcánico, ignimbritas y brechas explosivas de origen hidrotermal de colores grises y blancos, con clastos de composición metamórfica; contiene cristales de cuarzo, biotita y epidota (Hungerbühler, 1997; Hungerbühler et al., 2002)."				
Formación 	Quingeo	PcEQ	 Está conformada por una sucesión de capas finas cíclicas pobremente clasificadas, conglomerados hacia la base y areniscas y limolitas rojas y púrpuras hacia el tope (Hungerbühler et al., 2002). 				
Formación 	Río Guayucu	PcERg	"Está constituida por depósitos de caída, lahares y localmente areniscas volcánicas (INIGEMM, 2017d; INIGEMM, 2017e; IIGE c, 2019).  "				"Es una secuencia volcano-sedimentaria estratificada relacionada al arco volcánico continental del Paleoceno (INIGEMM, 2017d; INIGEMM, 2017e; IIGE c, 2019)."
Formación 	Río Oña	ORo	"Litológicamente está conformada por tobas líticas brechosas, con líticos de riolitas retrabajadas, tobas dacíticas, ignimbritas riolitas y dacíticas que forman paredes subverticales, con fiammes pumíticos blanquecinos (INIGEMM, 2017c; IIGE, 2019e). "				
Esquisto 	Río Panupali	K1P	Está constituida por esquistos verdes prógrados masivos y foliados, verdes pálidos a oscuros con actinolita ± albita ± cuarzo ±clorita ± epidota ±granate ± glauconita ±esfena ±calcita ± sulfuros. La presencia de granate y glaucófano evidencia su facies de alta presión (Aspden, et al., 1995).				Se interpreta como la envoltura exterior del Complejo Ofiolítico Raspas (Aspden, et al., 1995).
Formación 	Río Playas	EP	"Está conformada por conglomerados pobremente sorteados con clastos de lutitas negras, andesitas y cuarcitas, areniscas de grano grueso de color amarillo pobremente clasificado, y limolitas también amarillentas (Hungerbühler, et al., 2002; INIGEMM a, 2013)."				"Los clastos de los conglomerados provienen de las unidades Casanga, Naranjo y Catacocha, lo que indica que esta unidad se depositó en una zona dominada por sistemas fluviales, cuya fuente fueron las litologías adyacentes (Hungerbühler, et al., 2002; INIGEMM a, 2013). "
Formación 	Rosa de Oro	MRo	 Litológicamente describe a lavas andesíticas a andesito-basálticas, localmente se observan tobas dacíticas gris oscuras (INIGEMM n, 2017).				Análisis geoquímicos en roca total indican que las lavas tienen afinidad calcoalcalina derivados de un magmatismo de subducción (INIGEMM n, 2017).
Formación 	Rumipamba	MRu	Se compone mayoritariamente de tobas de ceniza intercaladas localmente con tobas de líticos y pseudoestratos de aglomerados de matriz fina con clastos de composición andesítica (INIGEMM r, 2017). 				
Migmatita 	Sabanilla	T1s	"Está conformada por migmatitas, orto y paragneises de medio a alto grado de metamorfismo que contienen sillimanita-biotita-cuarzo-albita, cianita-biotita-ortoclasa-cuarzo (Litherland et al., 1994; Spikings et al., 2014). 
Las migmatitas y gneises se caracterizan por conformar biotita, moscovita/fengita, feldespato, sericita, cuarzo y granate. Se pueden encontrar gneises intercalados con cuarcitas y paquetes decimétricos de anfibolitas. Generalmente estas rocas  presentan segregación de cuarzo  que aveces forman micropliegues de disolución (INIGEMM d, 2017)."	Migmatitas, Gneises, anfibolitas	Cuarzos (vetas, vetillas).	Rocas metamórficas (Migmatitas, gneises).	"Estudios geoquímicos realizados en los ortogneises indican relación con los granitos tipo S de Tres Lagunas. Los ortogneises están asociadas con rocas metamórficas de medio a alto grado metamórfico (paragneises) de protolito sedimentario (sedimentos pelíticos), evidencia que la anatexia de los sedimentos de Chigüinda originaron las unidades Tres Lagunas y Sabanilla, siendo esta última la fase migmatítica de este evento (Litherland et al., 1994; Spikings et al., 2014). "
Formación 	Sacairo	EScr	La Formación Sacairo (antigua Formación Sacapalca) está conformada por litofacies volcanoclástica consta de tobas de composición dacítica - riolítica y localmente afectada por diques de andesíticos, textura porfirítica, y vetillas de cuarzo rellenado las fracturas. Además, se encuentran volcanosedimentos finos de igual composición acida (IIGE, 2026).				Se la considera como una facies volcano-sedimentaria relacionada al mismo volcanismo que generó las Formaciones Changaimina (IIGE, 2026).
Formación 	Salapa	PLPlSl	"Está conformada por tobas de líticos y vidrio volcánico. Las tobas están alteradas, siendo posible en algunos sitios observar que la toba está convertida en caolinita (Hungerbühler D., 1997; Hungerbühler, et al., 2002)."				Para Bristow y Hoffstetter (1977) La Formación Salapa de la cuenca de Loja y la Formación Loma Blanca de la cuenca de Malacatos son equivalentes. 
Formación 	San Cayetano	MSc	"Litológicamente constituida por intercalaciones de areniscas, conglomerados, limolitas y lutitas con vetillas de carbón; y delgadas capas de piroclastos; las capas sedimentarias contienen macroflora y fauna (Hungerbühler et al., 2002)."				
Formación 	San Francisco	MSfr	Litológicamente contiene limolitas y areniscas gris azuladas, bien clasificadas, con intercalaciones canaliformes de areniscas de color marrón con estratificación cruzada en surco y, conglomerados con clastos metamórficos (INIGEMM d, 2017). 				Se interpreta como depositada en un ambiente estuarino dominado por acción fluvial, con cierta influencia mareal y de oleaje (INIGEMM d, 2017).
Formación 	San José	MSjo	"Está conformada por areniscas mayoritariamente calcáreas y en menor medida limolitas; además se reportan brechas bioclásticas, conglomerados con clastos volcánicos metamórficos, lutitas bioturbadas  (Hungerbühler D., 1997; INIGEMM d, 2017). "				"Con base en datos observados se estima que se depositó en un ambiente de delta dominado por olas. (Hungerbühler D., 1997; Hungerbühler, et al., 2002; INIGEMM d, 2017)."
Formación 	San Vicente	PcSv	"litologías principales consisten de limolitas tobáceas, pasando a tobas, tobas de lapilli e ignimbritas de composición andesítica de tonalidades grises, areniscas volcánicas finas, estratificadas de coloración verde claro, violeta, amarillo o marrón; en menor proporción se encuentran aglomerados y esporádicos conglomerados mal clasificados con clastos de rocas volcánicas de composición andesítica de color gris, púrpura y verdoso. Estas rocas aparecen localmente plegadas con ejes en dirección aproximada norte-sur, lo cual evidencia un nuevo evento tectónico (INIGEMM a, 2013)."				La secuencia comprende rocas volcanosedimentarias, depositadas en una llanura de inundación (INIGEMM a, 2013).
Formación 	Sanora	PcSa	"Está formada por rocas volcánicas y volcanosedimentarias (aglomerados, brechas piroclásticas), con clastos redondeados de intrusivos de composición intermedia a ácida, líticos de rocas subvolcánicas en una matriz de cristales disgregados de plagioclasa y hornblenda. Además se observan capas de areniscas volcánicas de grano medio, que presenta gránulos de rocas volcánicas y cristales de plagioclasa; estas capas se intercalan con capas de tobas de cristales de color púrpura con fenocristales de plagioclasa. (INIGEMM g, 2017). "	Aglomerados, brechas piroclásticas, areniscas, tobas de cristales.	N/A	"Gravas
Rocas ígneas ( tobas de cristales)"	Se interpreta a estos volcánicos como parte del arco volcánico paleocénico Sacapalca (INIGEMM g, 2017).
Formación 	Santa Isabel	MSa	"Está conformada por flujos de lava de composición intermedia, brechas volcánicas y en menor cantidad tobas (Hungerbühler, 1997; Hungerbühler et al., 2002). "				
Formación 	Santiago	J1S	"La Formación Santiago se compone de tres miebros informales:
Miembro Río Santiago.- Lutitas calcareas, calizas, grauvacas e intercalados de lutitas negras.
Miembro Yuquianza.-  Areniscas de grano fino, limolitas y lutitas negras.
Miembro Patuca.- Areniscas masivas que incluyen clastos sedimentarios y de origen volcánico. Este miembro presenta una secuencia progradacional que contiene diques máficos, sills y doleritas de color gris y verde. También se encuentran intercalados de rocas piroclásticas, hialoclastitas y pillow lavas.
Secuencia marina monótona de calizas silíceas en capas delegadas de color gris oscuro a negro con areniscas de grano fino a grueso de color gris y además intercalaciones con capas de lutitas negras delgadas localmente bituminosas. Al oeste, las facies se vuelven volcánica, con abundantes intercalaciones de brechas volcánicas que pasan lateralmente a tobas arenosas verdes y grises (Tschopp, 1953; Litherland et al., 1994; Gaibor et al., 2008; Vallejo et al., 2021)"	Lutitas, calizas, grauvacas, areniscas, limolitas	"Calizas
Dolomitas
Limolitas"	"Arenas de origen fluvial marino 
Depósitos aluviales
Gravas
Materiales calcáreos (lutitas calcáreas)
Arcillas superficiales (por meteorización) "	"Ambiente de plataforma carbonatada somera que prograda a ambientes de deltas  (Tschopp 1953; Litherland et al., 1994; Gaibor et al., 2008; Vallejo et al., 2021)"
Formación 	Santo Domingo	MSd	"Está conformado por areniscas, limolitas, lutitas negras bituminosas, carbón y yeso primario (Hungerbühler D., 1997; Hungerbühler, et al., 2002)."				"Las facies de depositación implican un ambiente deltaico con predominio de marea. (Hungerbühler D., 1997; Hungerbühler, et al., 2002). "
Formación 	Solanda	ESd	"Está conformado por conglomerados con líticos metamórficos, areniscas rojas y verdes de grano grueso, lutitas negras y en menor cantidad intercalada por tobas ácidas de grano muy fino (Hungerbühler D., 1997; INIGEMM d, 2017)."				
Formación 	Suro	PLSu	"Es una secuencia métrica de paraconglomerados matriz soportados, con clastos metamórficos subredondeados y matriz arenosa de grano medio a grueso, intercalados con niveles centimétricos de areniscas conglomeráticas, ubicándose al tope de la secuencia sedimentaria de relleno de la cuenca intramontañosa Vilcabamba (INIGEMM d, 2017; INIGEMM e, 2017)."				"Constituye un depósito de sistema aluvial en la fase de clausura intramontañosa (INIGEMM d, 2017; INIGEMM e, 2017)."
Formación 	Subibaja	MSb	Comprende areniscas y limolitas calcáreas (Bristow y Hoffstetter, 1977).				La presencia de foraminíferos indican un ambiente marino de poca profundidad. (Deniaud, 1998).
Formación 	Susudel	OSu	Litológicamente se compone de ignimbritas con abundantes fiammes pumíticos, tobas dacíticas y riolíticas con líticos tobáceos subredondeados a subangulosos de andesitas porfiríticas (INIGEMM, 2017c).				Unidad litoestratigráfica discriminada del Grupo Saraguro indiferenciado de Pratt y otros (1997) (INIGEMM, 2017c).
Formación 	Tambo Pamba	OM? Tp	Está conformada principalmente de brechas tobáceas estratificadas, con líticos de tobas retrabajadas de composición riolítica, en ocasiones cloritizadas, en una matriz arenosa. Sobreyaciendo a las brechas se encuentran secuencias sedimentarias de areniscas de grano fino con intercalaciones de arcillolitas, limolitas y areniscas de grano grueso gradando a microconglomerados (INIGEMM, 2017c).				Unidad litoestratigráfica discriminada del Grupo Saraguro indiferenciado de Pratt et al., (1997) (INIGEMM, 2017c).
Formación 	Tambo Viejo	MPLTv	"Está conformado por depósitos de caída meteorizados, de color rojizo, volcánicos, depósitos de caída (Hungerbühler D. et al., 1995; INIGEMM, 2017c)."				"Debido a que es el depósito volcánico más joven de la zona se lo correlaciona con la Formación Pisayambo (Hungerbühler D. et al., 1995; INIGEMM, 2017c)."
Complejo Ultramáfico 	Tampanchi	K2Tp	Corresponde a rocas ultrabásicas, piroxenitas, gabros, anfibolitas y algunas rocas ácidas (Litherland et al., 1994).				Los datos petrográficos y geoquímicos del Complejo Ultramáfico Tampanchi confirman que estas rocas representan las raíces de un arco magmático desarrollado en el margen continental de América del Sur durante el Cretácico Superior. Este arco volcánico se habría formado como consecuencia de una zona de subducción con vergencia hacia el este, previa a la acreción del plateau oceánico ecuatoriano-colombiano-caribeño (Villares et al., 2022). Además, respaldan la existencia de una subducción doble simultánea en el margen noroccidental de América del Sur durante el Cretácico, propuesto por Vallejo et al, (2019). 
Granodiorita 	Tangula	K2Ta	"La Litología dominante es una granodiorítica hornbléndica de color gris-rojizo y grano grueso, la zona peribatolítica de este cuerpo tiene una composición diorítica. La granodiorita intruye y disloca a las secuencias a las secuencias volcánicas y volcanoclásticas cretáceas. Se han podido distinguir 3 fases de intrusión, iniciando con una composición intermedia-básica con el desarrollo de dioritas que frecuentemente se encuentra en la zona peribatolítica y probablemente representa la fase inicial de la actividad ígnea, pasando posteriormente por granodioritas, litología dominante y con la formación de rocas ácidas como granitos que se presentan esporádicamente (INIGEMM a, 2013; IIGE c, 2019)."				"Presenta una afinidad calco-alcalina, emplazado en un arco volcánico continental (INIGEMM a, 2013; IIGE c, 2019)."
Anfibolita 	Taqui	T3T	Está conformada es anfibolitas de grano fino, muy similar a las observadas en la unidad Arenillas (Aspden et al., 1995).				
Formación 	Tarqui	MPLT	Está conformada por dos miembros informales: Miembro Chaparro y Miembro Llacao. El Miembro Chaparro consiste en depósitos volcánicos de caída alterados, aglomerados, tobas y tobas de ceniza de composición riolítica y andesítica, fuertemente caolinizados. El Mienbro Llacao consiste de depósitos piroclásticos y volcanoclásticos con retrabajamiento fluvial en canales, de escala decamétrica, rellenados con litoclastos y fragmentos de pómez, también existen cuerpos de areniscas y conglomerados con una extensión lateral limitada (Steimann, 1997).	Tobas de ceniza, aglomerados	"Caolines
Pumitas
Feldespatos
"	"Pómez
Arcillas superficiales (meteorización)
Cenizas volcánicas
Gravas (aglomerados, conglomerados)
Depósitos aluviales"	Se considera a la Formación Tarqui como equivalente de la Formación Tambo Viejo del Mioceno superior (Steinmann, 1997). Steinmann divide a la Formación Tarqui en 2 miembros: Miembro Chaparro de ambiente volcánico de caída y Miembro Llacao depositado en un ambiente de abanico aluvial con aporte volcánico (Hungerbühler, 1997).
Formación 	Tena	K2PcT	El miembro basal se caracteriza por una secuencia de areniscas, calizas y lutitas. De acuerdo con Vallejo et al, (2021), este miembro podría pertenecer a la Formación Napo de edad Campaniano. Consiste en lutitas rojizas a verdes y limolitas, también incluye lutitas nodulares, paleosuelos y areniscas de grano grueso con estratificación cruzada.   	Areniscas, calizas, limolitas, lutitas		Materiales pétreos.	La Formación Tena se asocia a sistemas de abanicos aluviales, ríos y llanuras de inundación (Vallejo et al., 2021).
Formación 	Tesalia	OTe	Consiste de brechas y autobrechas volcánicas de composición básica a intermedia y lavas andesíticas afaníticas a porfiríticas de colores gris verdoso y púrpura (INIGEMM, 2017a). 				Esta unidad está considerada como parte del arco volcánico Saraguro (INIGEMM, 2017a).
Formación 	Tiyuyacu	PCET	 Esta formación ha sido dividida en dos miembros informales (superior e inferior), con base en estudios estructurales y sedimentológicos. Los dos miembros están separados por una discordancia erosiva. La base del miembro inferior es una discordancia erosional regional identificada en afloramientos y secciones sísmicas. El miembro inferior está muy erosionado debido a lo cual, aflora escasamente en la cuenca y está constituido por conglomerados que contienen cherts rojizos, cuarzo lechoso y rocas metamórficas y el miembro superior se encuentra conformado por conglomerados con clastos de cuarzo y en menor proporción de areniscas gruesas y lutitas. (Baby et al., 2014).	Conglomerados, cherts, cuarzos, areniscas, lutitas.		Materiales pétreos y depósitos de placer aluvial	Está conformada por depósitos fluviales de ríos trenzados (Baby et al., 2014).
Formación 	Tomebamba	EO?Tb	" Está constituida por tobas de lapilli andesíticas y dacíticas masivas, formadas por flujos de ceniza; contienen cristales de feldespato y anfíbol usualmente cloritizados y escasos cristales de cuarzo, es común la textura soldada y fábrica eutaxítica; hacia el tope de la unidad también se registran brechas y tobas brechosas y sedimentos volcanoclásticos retrabajados (Dunkley y Gaibor, 1997). "				
Granito 	Tres Lagunas	^Tl	"Está conformada por rocas graníticas masivas de grano medio a grueso con fenocristales de feldespatos alcalinos de tonalidad gris ahumado y cristales cuarzo azul pálido, plagioclasa, biotita, moscovita y en menor porcentaje granate y cordierita, estas rocas presentan evidencia de deformación, metamorfismo y recristalización que abarca una incipiente alteración en rocas masivas que preservan la textura ígnea hasta la formación de gneises, por lo que, también es común encontrar gneises biotíticos, gneises con augen de feldespato alcalino + cuarzo y esquistos cuarzo-feldespáticos (Litherland et al., 1994; Spikings et al., 2014)."	Granitos, gneises, esquistos.	"Cuarzos
Feldespatos
Micas
Caolines (meteorización)"	"Arcillas superficiales (meteorización)
Rocas ígneas (granitos)
Rocas metamórficas (esquistos, gneis)"	"Análisis geoquímicos indican que esta unidad es un granito tipo S derivado de la fusión de material procedente de la corteza continental asociado a la apertura del rift Triásico, posiblemente su protolito sean los sedimentos de la unidad Chigüinda (Litherland et al., 1994; Spikings et al., 2014)."
Formación 	Trigal	MTr	"Litológicamente está compuesta por una secuencia de areniscas de grano grueso con capas de conglomerados y en menor cantidad limolitas tobáceas café-verdosas. Los conglomerados están conformados por pequeños clastos volcánicos, las areniscas presentan estratificación horizontal y contienen fragmentos de madera (Hungerbühler, 1997; Hungerbühler et al., 2002; INIGEMM a, 2017)."				"Esta secuencia se depositó en lechos fluviales dominados por inundaciones (Hungerbühler D., 1997; Hungerbühler D.et al., 2002; INIGEMM a, 2017)."
Formación 	Tronco Quemado	K2Tq	"Está conformada por una secuencia sedimentaria estratificada subhorizontal de grauvacas de grano grueso, compactas, de color pardo amarillento en capas potentes, así como areniscas limosas gris oscuro, con niveles finos de limolitas negras. Las grauvacas son levemente calcáreas y poseen nódulos de areniscas calcáreas. Esta secuencia no representa la clásica estructura turbidítica, sino más bien una estructura de arenisca individual de capas potentes con niveles finos de limolitas (IIGE a, 2019; INIGEMM b, 2017; IIGE b, 2019)."				
Formación 	Uchucay	MU	"Está conformada por limolitas blancas laminadas intercaladas con conglomerados pobremente sorteados y areniscas con estratificación horizontal y cruzada. Los clastos de los conglomerados provienen de las rocas del Grupo Saraguro (Hungerbühler, 1997; Hungerbühler et al., 2002). "				" La abundancia de limolitas laminadas sugiere que la depositación de esta unidad de dio en un ambiente lacustre con abundante aporte de detritos (Hungerbühler D., 1997; Hungerbühler D.et al., 2002). "
Formación 	Upano	J2K1U	En su litología se registran metandesitas verdosas, esquistos cuarzo sericítico, esquistos verdes masivos de grano fino a medio, filitas grafitosas y metagrauvacas intercaladas con esquistos pelíticos y grafíticos, localmente se encuentran vetas de cuarzo, epidota, calcita. (Litherland et al, 1994).	Metandesitas, esquistos, metragrauvacas, filitas grafitosas.	"Micas
Cuarzos (vetas)
Grafito"	"Arcillas superficiales (meteorización)
Rocas metamórficas (esquistos, filitas, metandesitas)"	"Los datos geoquímicos de la Formación Upano se sobreponen con la geoquímica de la Formación Misahuallí y Chapiza, por lo que se consideran como equivalentes, sin embargo, el grado de deformación observada en la Formación Upano se debería a la incorporación de estas rocas a la cuña de deformación de los Andes (Pratt et al, 2005; Gramal et al, 2021; Romero et al, 2025)."
Formación 	Turi	MTu	"Comprende conglomerados clasto soportados que contiene clastos andesíticos, brechas volcánicas matriz soportadas intercalado con areniscas y limolitas tobáceas (Bristow y Hoffstetter, 1977; INIGEMM, 2018)."				"La depositación se infiere que ocurrió en un abanico aluvial (Steinmann, 1997; Hungerbühler D., 1997; Hungerbühler, et al., 2002; Dunkley y Gaibor, 1997).Se interpreta que la unidad Upano se depositó en la cuenca pre orogénica Salado hace 143 Ma(Spikingset al., 2019)"
Formación 	Yacuviña	MYv	La unidad Yacuviña presenta una litología compuesta por tobas de líticos, diques locales de composición andesítica y tobas riolíticas (INIGEMM r, 2017).				
Formación 	Yunguilla	K2Y	"Consiste en limolitas masivas gris oscuras, cherts pelágicos y areniscas cuarzo feldespáticas de grano fino de grano fino, bien sorteadas con limolitas y lutitas fisiles, restringidas al borde oriental de la cordillera Occidental (Vallejo, 2007; Vallejo et al., 2019)."				"Interpretada como una secuencia de abanico turbidítico marino distal con presencia de fauna foraminífera del Maestrichtiano (Wilkinson 1996; Vallejo, 2007). La Formación Yunguilla es equivalente a la Formación Guayaquil en la costa (Thalmann, 1946; Bristow y Hoffstetter, 1977) y al Grupo Zapotillo en la cuenca Alamor-Lancones (Bristow y Hoffstetter, 1977)."
Complejo Intrusivo 	Zamora	JZ	"Se compone por dioritas y granodioritas con hornblenda-biotita y la ocurrencia de granitos es rara. Existen rocas subvolcánicas de grano fino asociados a diques volcánicos de composición andesítica.
Se reportan también pórfidos cuarzo-feldespáticos con varios stocks menores de diferente composición y vetas de cuarzo de variados espesores que se encuentran intruyendo a esta complejo (Litherland et al., 1994; INIGEMM i, 2017; INIGEMM k, 2017)."	Dioritas, granodioritas, granitos, andesitas	"Cuarzos (pórfidos, vetas)
Feldespato
Caolines
Baritina"	"Rocas ígneas (dioritas, granodioritas, granitos, andesitas)
Arcillas superficiales (por meteorización)
Gravas (por meteorización y transporte)
"	"Estas rocas son el remanente del arco volcánico continental del Jurásico que originó también a la Formación Misahuallí y sus discriminaciones posteriores (Litherland et al., 1994; Spikings et al., 2015)."
