Unidad de término	Nombre	Abreviatura de la unidad actual	Litología	Litología representativa	Interés económico	Ambiente geológico		
Formación 	Santo Domingo	MSd	"Está conformado por areniscas, limolitas, lutitas negras bituminosas, carbón y yeso primario (Hungerbühler D., 1997; Hungerbühler, et al., 2002)."			"Las facies de depositación implican un ambiente deltaico con predominio de marea. (Hungerbühler D., 1997; Hungerbühler, et al., 2002). "		
Formación 	Solanda	ESd	"Está conformado por conglomerados con líticos metamórficos, areniscas rojas y verdes de grano grueso, lutitas negras y en menor cantidad intercalada por tobas ácidas de grano muy fino (Hungerbühler D., 1997; INIGEMM d, 2017)."					
Formación 	Suro	PLSu	"Es una secuencia métrica de paraconglomerados matriz soportados, con clastos metamórficos subredondeados y matriz arenosa de grano medio a grueso, intercalados con niveles centimétricos de areniscas conglomeráticas, ubicándose al tope de la secuencia sedimentaria de relleno de la cuenca intramontañosa Vilcabamba (INIGEMM d, 2017; INIGEMM e, 2017)."			"Constituye un depósito de sistema aluvial en la fase de clausura intramontañosa (INIGEMM d, 2017; INIGEMM e, 2017)."		
Formación 	Subibaja	MSb	Comprende areniscas y limolitas calcáreas (Bristow y Hoffstetter, 1977).			La presencia de foraminíferos indican un ambiente marino de poca profundidad. (Deniaud, 1998).		
Formación 	Susudel	OSu	Litológicamente se compone de ignimbritas con abundantes fiammes pumíticos, tobas dacíticas y riolíticas con líticos tobáceos subredondeados a subangulosos de andesitas porfiríticas (INIGEMM, 2017c).			Unidad litoestratigráfica discriminada del Grupo Saraguro indiferenciado de Pratt y otros (1997) (INIGEMM, 2017c).		
Formación 	Tambo Pamba	OM? Tp	Está conformada principalmente de brechas tobáceas estratificadas, con líticos de tobas retrabajadas de composición riolítica, en ocasiones cloritizadas, en una matriz arenosa. Sobreyaciendo a las brechas se encuentran secuencias sedimentarias de areniscas de grano fino con intercalaciones de arcillolitas, limolitas y areniscas de grano grueso gradando a microconglomerados (INIGEMM, 2017c).			Unidad litoestratigráfica discriminada del Grupo Saraguro indiferenciado de Pratt et al., (1997) (INIGEMM, 2017c).		
Formación 	Tambo Viejo	MPLTv	"Está conformado por depósitos de caída meteorizados, de color rojizo, volcánicos, depósitos de caída (Hungerbühler D. et al., 1995; INIGEMM, 2017c)."			"Debido a que es el depósito volcánico más joven de la zona se lo correlaciona con la Formación Pisayambo (Hungerbühler D. et al., 1995; INIGEMM, 2017c)."		
Complejo Ultramáfico 	Tampanchi	K2Tp	Corresponde a rocas ultrabásicas, piroxenitas, gabros, anfibolitas y algunas rocas ácidas (Litherland et al., 1994).			Los datos petrográficos y geoquímicos del Complejo Ultramáfico Tampanchi confirman que estas rocas representan las raíces de un arco magmático desarrollado en el margen continental de América del Sur durante el Cretácico Superior. Este arco volcánico se habría formado como consecuencia de una zona de subducción con vergencia hacia el este, previa a la acreción del plateau oceánico ecuatoriano-colombiano-caribeño (Villares et al., 2022). Además, respaldan la existencia de una subducción doble simultánea en el margen noroccidental de América del Sur durante el Cretácico, propuesto por Vallejo et al, (2019). 		
Granodiorita 	Tangula	K2Ta	"La Litología dominante es una granodiorítica hornbléndica de color gris-rojizo y grano grueso, la zona peribatolítica de este cuerpo tiene una composición diorítica. La granodiorita intruye y disloca a las secuencias a las secuencias volcánicas y volcanoclásticas cretáceas. Se han podido distinguir 3 fases de intrusión, iniciando con una composición intermedia-básica con el desarrollo de dioritas que frecuentemente se encuentra en la zona peribatolítica y probablemente representa la fase inicial de la actividad ígnea, pasando posteriormente por granodioritas, litología dominante y con la formación de rocas ácidas como granitos que se presentan esporádicamente (INIGEMM a, 2013; IIGE c, 2019)."			"Presenta una afinidad calco-alcalina, emplazado en un arco volcánico continental (INIGEMM a, 2013; IIGE c, 2019)."		
Anfibolita 	Taqui	T3T	Está conformada es anfibolitas de grano fino, muy similar a las observadas en la unidad Arenillas (Aspden et al., 1995).					
Formación 	Tarqui	MPLT	Está conformada por rocas piroclásticas de composición intermedia a ácida tales como brechas volcánicas riolíticas a andesíticas, tobas originadas por flujos de ceniza, flujos piroclásticos e ignimbritas (Baldock, 1982 en Hungerbühler, et al., 2002)			"Se considera a la Formación Tarqui como equivalente de la Formación Tambo Viejo del Mioceno superior (Steinmann, 1997; Hungerbühler D., 1997). Steinmann divide a la Formación Tarqui en 2 miembros: Miembro Chaparro y Miembro Llacao, depositado de manera coetánea, pero en ambientes sedimentarios diferentes."		
Formación 	Tena	K2PcT	El miembro basal se caracteriza por una secuencia de areniscas, calizas y lutitas. De acuerdo con Vallejo et al, (2021), este miembro podría pertenecer a la Formación Napo de edad Campaniano. Consiste en lutitas rojizas a verdes y limolitas, también incluye lutitas nodulares, paleosuelos y areniscas de grano grueso con estratificación cruzada.   	Areniscas, calizas, limolitas, lutitas	Material pétreo.	La Formación Tena se asocia a sistemas de abanicos aluviales, ríos y llanuras de inundación (Vallejo et al., 2021).		
Formación 	Tesalia	OTe	Consiste de brechas y autobrechas volcánicas de composición básica a intermedia y lavas andesíticas afaníticas a porfiríticas de colores gris verdoso y púrpura (INIGEMM, 2017a). 			Esta unidad está considerada como parte del arco volcánico Saraguro (INIGEMM, 2017a).		
Formación 	Tiyuyacu	PCET	 Esta formación ha sido dividida en dos miembros informales (superior e inferior), con base en estudios estructurales y sedimentológicos. Los dos miembros están separados por una discordancia erosiva. La base del miembro inferior es una discordancia erosional regional identificada en afloramientos y secciones sísmicas. El miembro inferior está muy erosionado debido a lo cual, aflora escasamente en la cuenca y está constituido por conglomerados que contienen cherts rojizos, cuarzo lechoso y rocas metamórficas y el miembro superior se encuentra conformado por conglomerados con clastos de cuarzo y en menor proporción de areniscas gruesas y lutitas. (Baby et al., 2014).	Conglomerados, cherts, cuarzos, areniscas, lutitas.	Material pétreo	Está conformada por depósitos fluviales de ríos trenzados (Baby et al., 2014).		
Formación 	Tomebamba	EO?Tb	" Está constituida por tobas de lapilli andesíticas y dacíticas masivas, formadas por flujos de ceniza; contienen cristales de feldespato y anfíbol usualmente cloritizados y escasos cristales de cuarzo, es común la textura soldada y fábrica eutaxítica; hacia el tope de la unidad también se registran brechas y tobas brechosas y sedimentos volcanoclásticos retrabajados (Dunkley y Gaibor, 1997). "					
Granito 	Tres Lagunas	^Tl	"Está conformada por rocas graníticas masivas de grano medio a grueso con fenocristales de feldespatos alcalinos de tonalidad gris ahumado y cristales cuarzo azul pálido, plagioclasa, biotita, muscovita y en menor porcentaje granate y cordierita. Las rocas de la Tres Lagunas presenta evidencia de deformación, metamorfismo y recristalización que abarca una incipiente alteración en rocas masivas que preservan la textura ígnea hasta la formación de gneises, por lo que, también es común encontrar gneises biotíticos, gneises con augen de feldespato alcalino + cuarzo y esquistos cuarzo-feldespáticos (Litherland, et al., 1994; Spikings, et al., 2014)."			"Análisis geoquímicos indican que esta unidad es un granito tipo S derivado de la fusión de material procedente de la corteza continental asociado a la apertura del rift Triásico, posiblemente su protolito sean los sedimentos de la unidad Chigüinda (Litherland, et al., 1994; Spikings, et al., 2014)."		
Formación 	Trigal	MTr	"Litológicamente está compuesta por una secuencia de areniscas de grano grueso con capas de conglomerados y en menor cantidad limolitas tobáceas café-verdosas. Los conglomerados están conformados por pequeños clastos volcánicos, las areniscas presentan estratificación horizontal y contienen fragmentos de madera (Hungerbühler, 1997; Hungerbühler et al., 2002; INIGEMM a, 2017)."			"Esta secuencia se depositó en lechos fluviales dominados por inundaciones (Hungerbühler D., 1997; Hungerbühler D.et al., 2002; INIGEMM a, 2017)."		
Formación 	Tronco Quemado	K2Tq	"Está conformada por una secuencia sedimentaria estratificada subhorizontal de grauvacas de grano grueso, compactas, de color pardo amarillento en capas potentes, así como areniscas limosas gris oscuro, con niveles finos de limolitas negras. Las grauvacas son levemente calcáreas y poseen nódulos de areniscas calcáreas. Esta secuencia no representa la clásica estructura turbidítica, sino más bien una estructura de arenisca individual de capas potentes con niveles finos de limolitas (IIGE a, 2019; INIGEMM b, 2017; IIGE b, 2019)."					
Formación 	Uchucay	MU	"Está conformada por limolitas blancas laminadas intercaladas con conglomerados pobremente sorteados y areniscas con estratificación horizontal y cruzada. Los clastos de los conglomerados provienen de las rocas del Grupo Saraguro (Hungerbühler, 1997; Hungerbühler et al., 2002). "			" La abundancia de limolitas laminadas sugiere que la depositación de esta unidad de dio en un ambiente lacustre con abundante aporte de detritos (Hungerbühler D., 1997; Hungerbühler D.et al., 2002). "		
Formación 	Upano	J2K1U	En su litología se registran metaandesitas verdosas, esquistos verdes masivos de grano fino a medio y metagrauvacas intercaladas con esquistos pelíticos y grafíticos (Litherland, Aspden, y Jemielita, 1994).			Análisis geoquímicos de las metaandesitas indica que son de afinidad calcoalcalina (Litherland, Aspden, y Jemielita, 1994).		
Formación 	Turi	MTu	"Comprende conglomerados clasto soportados que contiene clastos andesíticos, brechas volcánicas matriz soportadas intercalado con areniscas y limolitas tobáceas (Bristow y Hoffstetter, 1977; INIGEMM, 2018)."			"La depositación se infiere que ocurrió en un abanico aluvial (Steinmann, 1997; Hungerbühler D., 1997; Hungerbühler, et al., 2002; Dunkley y Gaibor, 1997).Se interpreta que la unidad Upano se depositó en la cuenca pre orogénica Salado hace 143 Ma(Spikingset al., 2019)"		
Formación 	Yacuviña	MYv	La unidad Yacuviña presenta una litología compuesta por tobas de líticos, diques locales de composición andesítica y tobas riolíticas (INIGEMM r, 2017).					
Formación 	Yunguilla	K2Y	"Consiste en limolitas masivas gris oscuras, cherts pelágicos y areniscas cuarzo feldespáticas de grano fino de grano fino, bien sorteadas con limolitas y lutitas fisiles, restringidas al borde oriental de la cordillera Occidental (Vallejo, 2007; Vallejo et al., 2019)."			"Interpretada como una secuencia de abanico turbidítico marino distal con presencia de fauna foraminífera del Maestrichtiano (Wilkinson 1996; Vallejo, 2007). La Formación Yunguilla es equivalente a la Formación Guayaquil en la costa (Thalmann, 1946; Bristow y Hoffstetter, 1977) y al Grupo Zapotillo en la cuenca Alamor-Lancones (Bristow y Hoffstetter, 1977)."		
Complejo Intrusivo 	Zamora	JZ	"Está constituido por rocas ígneas intermedias a ácidas de afinidad calcoalcalina, que no presenta deformación ni metamorfismo, generalmente se reportan granodioritas con cristales de hornblenda - biotita, cuarzomonzonitas, dioritas y raramente granitos, intruido por diques volcánicos de composición andesítica a basáltica (Litherland et al., 1994; INIGEMM i, 2017; INIGEMM k, 2017)."			Estas rocas son el remanente del arco volcánico continental del Jurásico (194 – 209 Ma) que originó también a la Formación Misahuallí y sus discriminaciones posteriores (Spikings, et al., 2014).		
								
